2026-01-15 15:33:36 KST 로그:  데이터베이스 시스템이 비정상적으로 종료되었음; 마지막 운영시간: 2026-01-12 10:15:24 KST
2026-01-15 15:33:40 KST 로그:  데이터베이스 시스템이 정상적으로 종료되지 못했습니다, 자동 복구 작업을 진행합니다
2026-01-15 15:33:40 KST 로그:  0/1E752D8에서 redo 작업 시작됨
2026-01-15 15:33:40 KST 로그:  잘못된 레코드 길이: 위치 0/1E753E0, 기대값 24, 실재값 0
2026-01-15 15:33:40 KST 로그:  0/1E753A8에서 redo 작업 완료, 시스템 사용량: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-01-15 15:33:40 KST 로그:  체크포인트 시작: end-of-recovery immediate wait
2026-01-15 15:33:40 KST 로그:  체크포인트 작업완료: 0개(0.0%) 버퍼 씀, 3개 SLRU 버퍼 씀; 0개 WAL 파일 추가됨, 0개 지웠음, 0개 재활용; 쓰기시간: 0.002 s, 동기화시간: 0.006 s, 전체시간: 0.033 s; 동기화 파일 개수: 2, 최장시간: 0.003 s, 평균시간: 0.003 s; 실제작업량: 0 kB, 예상한작업량: 0 kB; lsn=0/1E753E0, redo lsn=0/1E753E0
2026-01-15 19:14:38 KST 로그:  서비스를 멈추고 있습니다
2026-01-15 19:14:38 KST 오류:  사용자 요청에 의해 작업을 취소합니다.
2026-01-15 19:14:38 KST 오류:  사용자 요청에 의해 작업을 취소합니다.
2026-01-15 19:14:38 KST 로그:  체크포인트 시작: shutdown immediate
2026-01-15 19:14:38 KST 로그:  체크포인트 작업완료: 0개(0.0%) 버퍼 씀, 0개 SLRU 버퍼 씀; 0개 WAL 파일 추가됨, 0개 지웠음, 0개 재활용; 쓰기시간: 0.004 s, 동기화시간: 0.001 s, 전체시간: 0.041 s; 동기화 파일 개수: 0, 최장시간: 0.000 s, 평균시간: 0.000 s; 실제작업량: 0 kB, 예상한작업량: 0 kB; lsn=0/1E75490, redo lsn=0/1E75490
